French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
demande,request
genre,kind
mois,month
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
compris,understood
savais,knew
voici,here is
pourrais,could
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
tiens,here
matin,morning
tellement,so much
point,point
venu,came
venez,come
devant,in front of
minutes,minutes
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
espère,hope
attendez,Wait
nouvelle,new
boulot,job
dirait,would say
fin,end
croire,believe
chérie,sweetheart
gros,large
filles,girls
jouer,to play
bureau,office
